  1 Another One Bites The Dust,Queen,Greatest Hits,55,100,217                                                                                                          
  2 Asche Zu Asche,Rammstein,Herzeleid,79,100,231
  3 Beauty School Dropout,Various,Grease,48,100,239
  4 Black Dog,Led Zeppelin,IV,109,100,296
  5 Bring The Boys Back Home,Pink Floyd,The Wall [Disc 2],33,100,87
  6 Circles,Bryan Lee,Blues Is,54,60,355
  7 Comfortably Numb,Pink Floyd,The Wall [Disc 2],36,100,384
  8 Crazy Little Thing Called Love,Queen,Greatest Hits,38,100,163
  9 Electric Funeral,Black Sabbath,Paranoid,44,100,293
 10 Fat Bottomed Girls,Queen,Greatest Hits,38,100,257
 11 For Those About To Rock (We Salute You),AC/DC,Who Made Who,84,100,353
 12 Four Sticks,Led Zeppelin,IV,84,100,284
 13 Furious Angels,Rob Dougan,The Matrix Reloaded,54,100,330
 14 Gelle,Bryan Lee,Blues Is,45,60,199
 15 Going To California,Led Zeppelin,IV,100,100,215
 16 Grease,Various,Grease,42,100,205
 17 Hand of Doom,Black Sabbath,Paranoid,36,100,429
 18 Hells Bells,AC/DC,Who Made Who,82,100,312
 19 Hey You,Pink Floyd,The Wall [Disc 2],23,100,282
 20 I Worry,Bryan Lee,Blues Is,33,100,341
 21 Iron Man,Black Sabbath,Paranoid,39,100,358
 22 Is There Anybody Out There?,Pink Floyd,The Wall [Disc 2],26,100,160
 23 It was a Very Good Year,Frank Sinatra,Greatest Hits,39,100,268
 24 Its Your Move,Bryan Lee,Blues Is,40,100,245
 25 Jack the Stripper/Fairies Wear Boots,Black Sabbath,Paranoid,35,100,373
 26 Killer Queen,Queen,Greatest Hits,34,100,181
 27 Laichzeit,Rammstein,Herzeleid,41,100,262
 28 Let me Down Easy,Bryan Lee,Blues Is,43,100,331
 29 Misty Mountain Hop,Led Zeppelin,IV,88,100,278
 30 No Low Down,Bryan Lee,Blues Is,39,100,245
 31 Now You Are Gone,America,Greatest Hits,52,100,187
 32 Outside The Wall,Pink Floyd,The Wall [Disc 2],16,100,104
 33 Paranoid,Black Sabbath,Paranoid,36,100,172
